baryon_density,pressurec2,energy_densityc2
418476758029.2966,836217494.2357763,417948310123.6936
429542986772.25397,865836766.0533609,429023066029.38354
433045968411.3435,875266122.2499702,432528907250.2459
451924067915.093,926517446.5185997,451423722282.76495
481866542798.2047,1009273913.8441355,481397108921.71234
497391975555.5005,1052870819.5531645,496940629877.1514
510694289452.9493,1090588244.339602,510259531279.55597
570747668974.3788,1201410913.050339,570396326055.9327
2106872000000.0002,2390286329.039304,2109895429765.9285
3164149000000.0,3801916418.4728746,3170192327468.6987
4463242000000.0,5843871236.2492,4473692909018.94
6022353999999.999,8650158573.962444,6038931003122.887
7865199000000.0,12365768649.835766,7890005182296.987
12518821000000.0,23178466867.28882,12568243071352.78
18698990000000.0,39759712405.0205,18787709173039.574
26718330000000.0,63909957628.571655,26866615166757.61
36861909999999.99,97751362350.19092,37096384025469.234
49226589999999.99,143625734914.7068,49579337528199.37
71282280000000.0,239838448200.8157,71875830644259.88
103874000000000.0,426817034899.46265,104884608179904.55
122200580000000.0,559793143992.1167,123475681577620.0
126851529999999.98,595835471383.6268,128197142903807.17
141950000000000.0,797246519743.2017,143537877669873.47
150300000000000.0,889964824556.4496,152030831968127.2
158650000000000.0,990980962822.7134,160529164171783.4
167000000000000.0,1101049283037.7222,169033047415620.34
175349999999999.97,1220824293455.1235,177542672898176.03
183700000000000.0,1350949408968.332,186058244553533.72
192050000000000.0,1492278818315.1584,194579981647448.94
200400000000000.0,1645367189507.1685,203108115299928.78
208750000000000.0,1810991057760.5532,211642884937468.72
217100000000000.0,1989816024689.191,220184539782526.44
225450000000000.0,2182507691906.9604,228733335499696.66
233800000000000.0,2389953528232.365,237289537440777.22
242149999999999.97,2612708201676.971,245853417987216.47
250500000000000.0,2851437313854.6562,254425251709763.62
258850000000000.0,3107028333583.925,263005320641716.38
267200000000000.0,3379924995274.03,271593910343313.6
275550000000000.0,3670792900538.848,280191305742196.62
283900000000000.0,3980741385401.5127,288797801183448.44
292249999999999.94,4310103250668.9604,297413695280190.8
300600000000000.0,4659765965159.695,306039286763204.44
308949999999999.94,5030395130487.598,314674879439666.3
317300000000000.0,5422656348266.546,323320778685446.56
325650000000000.0,5837104286508.104,331977289902885.8
334000000000000.0,6274737347633.087,340644722582782.5
342350000000000.0,6735999266050.753,349323388969097.06
350699999999999.94,7221888444181.914,358013603474019.5
359050000000000.0,7732626749231.201,366715680317886.3
367400000000000.0,8269434450824.053,375429935564036.1
375750000000000.0,8832644349767.412,384156688827951.4
384100000000000.0,9423254848482.094,392896260119322.5
392449999999999.94,10041709681377.35,401648971364904.9
400800000000000.0,10689007250874.004,410415145988093.06
409149999999999.94,11365147556972.047,419195104588297.56
417500000000000.0,12071794603706.182,427989171253029.6
434200000000000.0,13561632882770.453,445620653043229.1
450900000000000.0,15192356836772.297,463312100105462.75
467600000000000.0,16973950489919.893,481066692297156.9
484299999999999.94,18914179194375.15,498887701235374.94
501000000000000.0,21038557678670.07,516778734528446.3
517700000000000.0,23340429926665.875,534743496019951.44
534400000000000.0,25850857347010.21,552785819842017.06
551100000000000.0,28555418571402.383,570909588742155.4
567800000000000.0,31470753640189.355,589118465017760.9
584499999999999.9,34632361306111.31,607416652892594.8
601200000000000.0,38021382856775.01,625808382817765.2
617899999999999.9,41673317044920.63,644297853897305.4
634600000000000.0,45590382542594.46,662889564406740.6
651300000000000.0,49770360677750.22,681587777440239.9
668000000000000.0,54229891490734.84,700396714048746.5
684700000000000.0,58990052365987.86,719320854275093.0
701399999999999.9,64066374007833.055,738364908598990.0
718100000000000.0,69439997703877.24,757533336160995.8
734800000000000.0,75129782166513.61,776830374678198.6
751500000000000.0,81170116812459.22,796260669572655.9
768200000000000.0,87545470937390.23,815828885861044.0
784899999999999.9,94290233958023.73,835539674854243.9
801600000000000.0,101385547161966.45,855397671294590.5
818299999999999.9,108864690629912.33,875407451743201.2
835000000000000.0,116713242993560.67,895573611747188.4
851700000000000.0,124966703005651.66,915900760410110.8
868400000000000.0,133630617346300.9,936393736477366.6
885100000000000.1,142693892655277.16,957057143100271.0
901800000000000.0,152189809013274.28,977895608466842.0
935200000000000.0,172490658236562.6,1020116665754903.0
968599999999999.9,194588631817322.25,1063094399565235.2
1002000000000000.0,218650130159023.0,1106867493544266.0
1035400000000000.0,244630779820739.5,1151474242897678.5
1068800000000000.0,272730261286635.22,1196952804638670.2
1102200000000000.0,302948574556710.2,1243342204713034.5
1135600000000000.0,335252439550270.56,1290678611514688.0
1168999999999999.8,370041217235643.25,1339001206950117.2
1202400000000000.0,407081947047971.0,1388349656948953.8
1235799999999999.8,446596496191879.7,1438761029261576.0
1269200000000000.0,488562677946906.75,1490273206719147.8
1302600000000000.0,533180172797215.7,1542924312466389.5
1336000000000000.0,580593194425813.6,1596754952543424.5
1369400000000000.0,630646435789462.0,1651803683428870.0
1402799999999999.8,683517390651861.9,1708107317815066.8
1436200000000000.0,739183872292551.0,1765702838935346.2
1469600000000000.0,797834467835460.9,1824627370565580.8
1503000000000000.0,859646671044292.8,1884920516767115.8
1536400000000000.0,924454081515577.0,1946620352821079.2
1569799999999999.8,992412006292551.9,2009763076569604.8
1603200000000000.0,1063720125859380.8,2074387112209700.8
1636599999999999.8,1138400626936526.8,2140531644817204.2
1670000000000000.0,1216386949362601.2,2208233828537188.8
1703400000000000.0,1297590346255754.5,2277527780218037.0
1736800000000000.0,1382676419229864.2,2348451753406743.0
1770200000000000.2,1471201433875678.8,2421044927241832.5
1803600000000000.0,1563387257397824.0,2495342753918318.5
1837000000000000.2,1659233889796299.8,2571381476351482.5
1870400000000000.0,1759739733491923.8,2649204893211630.0
1903799999999999.8,1861576780415304.2,2728835292518348.5
1937199999999999.8,1970402644284407.0,2810312885162843.5
1970599999999999.8,2081003445790518.5,2893682364643948.0
2004000000000000.0,2197039993809969.8,2978972124681896.0
2037399999999999.8,2316404549898812.5,3066223575262343.5
2070800000000000.0,2441093918898681.5,3155475163319558.0
2104200000000000.0,2567447291933246.0,3246751588434578.5
2137600000000000.0,2701122282720473.0,3340091156596125.5
2171000000000000.0,2837903414372464.0,3435543757377314.5
2204400000000000.0,2978567222105412.5,3533130532562198.0
2237800000000000.2,3124333975544760.0,3632887058591277.0
